male?,age,p
FALSE,0,4.19095530846447e-4
FALSE,1,4.19095530846447e-4
FALSE,2,4.19095530846447e-4
FALSE,3,4.19095530846447e-4
FALSE,4,4.19095530846447e-4
FALSE,5,4.19095530846447e-4
FALSE,6,4.19095530846447e-4
FALSE,7,4.19095530846447e-4
FALSE,8,4.19095530846447e-4
FALSE,9,4.19095530846447e-4
FALSE,10,4.19095530846447e-4
FALSE,11,4.19095530846447e-4
FALSE,12,4.19095530846447e-4
FALSE,13,4.19095530846447e-4
TRUE,0,0.00220888483881099
TRUE,1,0.00220888483881099
TRUE,2,0.00220888483881099
TRUE,3,0.00220888483881099
TRUE,4,0.00220888483881099
TRUE,5,0.00220888483881099
TRUE,6,0.00220888483881099
TRUE,7,0.00220888483881099
TRUE,8,0.00220888483881099
TRUE,9,0.00220888483881099
TRUE,10,0.00220888483881099
TRUE,11,0.00220888483881099
TRUE,12,0.00220888483881099
TRUE,13,0.00220888483881099
FALSE,14,0.0223485080056817
FALSE,15,0.0223485080056817
FALSE,16,0.0223485080056817
FALSE,17,0.0223485080056817
TRUE,14,0.15015920337183
TRUE,15,0.15015920337183
TRUE,16,0.15015920337183
TRUE,17,0.15015920337183
FALSE,18,0.0510827740184912
FALSE,19,0.0510827740184912
FALSE,20,0.0510827740184912
FALSE,21,0.0510827740184912
FALSE,22,0.0510827740184912
FALSE,23,0.0510827740184912
FALSE,24,0.0510827740184912
TRUE,18,0.301852378661966
TRUE,19,0.301852378661966
TRUE,20,0.301852378661966
TRUE,21,0.301852378661966
TRUE,22,0.301852378661966
TRUE,23,0.301852378661966
TRUE,24,0.301852378661966
FALSE,25,0.0634378338266472
FALSE,26,0.0634378338266472
FALSE,27,0.0634378338266472
FALSE,28,0.0634378338266472
FALSE,29,0.0634378338266472
FALSE,30,0.0634378338266472
FALSE,31,0.0634378338266472
FALSE,32,0.0634378338266472
FALSE,33,0.0634378338266472
FALSE,34,0.0634378338266472
TRUE,25,0.303561858487422
TRUE,26,0.303561858487422
