age,male?,p
0,true,6.869999999999932e-4
1,true,6.869999999999932e-4
2,true,6.869999999999932e-4
3,true,6.869999999999932e-4
4,true,6.869999999999932e-4
5,true,5.891999999999564e-4
6,true,5.891999999999564e-4
7,true,5.891999999999564e-4
8,true,5.891999999999564e-4
9,true,5.891999999999564e-4
10,true,0.0011600999999999972
11,true,0.0011600999999999972
12,true,0.0011600999999999972
13,true,0.0011600999999999972
14,true,0.0011600999999999972
15,true,0.0020059999999999523
16,true,0.0020059999999999523
17,true,0.0020059999999999523
18,true,0.0020059999999999523
19,true,0.0020059999999999523
20,true,0.0023602000000000345
21,true,0.0023602000000000345
22,true,0.0023602000000000345
23,true,0.0023602000000000345
24,true,0.0023602000000000345
25,true,0.002632900000000049
26,true,0.002632900000000049
27,true,0.002632900000000049
28,true,0.002632900000000049
29,true,0.002632900000000049
30,true,0.0032971000000000528
31,true,0.0032971000000000528
32,true,0.0032971000000000528
33,true,0.0032971000000000528
34,true,0.0032971000000000528
35,true,0.005000600000000022
36,true,0.005000600000000022
37,true,0.005000600000000022
38,true,0.005000600000000022
39,true,0.005000600000000022
40,true,0.007714600000000016
41,true,0.007714600000000016
42,true,0.007714600000000016
43,true,0.007714600000000016
44,true,0.007714600000000016
45,true,0.012936199999999953
46,true,0.012936199999999953
47,true,0.012936199999999953
48,true,0.012936199999999953
49,true,0.012936199999999953
50,true,0.02167090000000005
51,true,0.02167090000000005
52,true,0.02167090000000005
53,true,0.02167090000000005
54,true,0.02167090000000005
55,true,0.03403889999999998
56,true,0.03403889999999998
57,true,0.03403889999999998
58,true,0.03403889999999998
59,true,0.03403889999999998
60,true,0.05592280000000005
61,true,0.05592280000000005
62,true,0.05592280000000005
63,true,0.05592280000000005
64,true,0.05592280000000005
65,true,0.08785180000000004
66,true,0.08785180000000004
67,true,0.08785180000000004
68,true,0.08785180000000004
69,true,0.08785180000000004
70,true,0.1411158
71,true,0.1411158
72,true,0.1411158
73,true,0.1411158
74,true,0.1411158
75,true,0.24230039999999997
76,true,0.24230039999999997
77,true,0.24230039999999997
78,true,0.24230039999999997
79,true,0.24230039999999997
80,true,0.3914786
81,true,0.3914786
82,true,0.3914786
83,true,0.3914786
84,true,0.3914786
85,true,0.5658669000000001
86,true,0.5658669000000001
87,true,0.5658669000000001
88,true,0.5658669000000001
89,true,0.5658669000000001
90,true,0.7532908
91,true,0.7532908
92,true,0.7532908
93,true,0.7532908
94,true,0.7532908
95,true,0.9027414
96,true,0.9027414
97,true,0.9027414
98,true,0.9027414
99,true,0.9027414
100,true,0.9727315
101,true,0.9727315
102,true,0.9727315
103,true,0.9727315
104,true,0.9727315
105,true,0.9954761
106,true,0.9954761
107,true,0.9954761
108,true,0.9954761
109,true,0.9954761
110,true,0.9995294
111,true,0.9995294
112,true,0.9995294
113,true,0.9995294
114,true,0.9995294
115,true,0.9999661
116,true,0.9999661
117,true,0.9999661
118,true,0.9999661
119,true,0.9999661
0,false,6.234999999999991e-4
1,false,6.234999999999991e-4
2,false,6.234999999999991e-4
3,false,6.234999999999991e-4
4,false,6.234999999999991e-4
5,false,3.410999999999831e-4
6,false,3.410999999999831e-4
7,false,3.410999999999831e-4
8,false,3.410999999999831e-4
9,false,3.410999999999831e-4
10,false,3.3769999999999634e-4
11,false,3.3769999999999634e-4
12,false,3.3769999999999634e-4
13,false,3.3769999999999634e-4
14,false,3.3769999999999634e-4
15,false,6.024999999999503e-4
16,false,6.024999999999503e-4
17,false,6.024999999999503e-4
18,false,6.024999999999503e-4
19,false,6.024999999999503e-4
20,false,8.327000000000195e-4
21,false,8.327000000000195e-4
