"BehaviorSpace results (NetLogo 6.0.4)"
"PROTON-OC.nlogo"
"exp"
"04/23/2019 21:26:16:418 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-oc-persons","data-folder","criminal-rate","employment-rate","education-rate","law-enforcement-rate","punishment-length","[step]","o1","o2","o3","o4","o5","o6","o7a","o7b","o7c","o8a","o8b","o8c","o9a","o9b","o9c","o10a","o10b","o10c","o11","o12"
"6","20","inputs/palermo/data/","1","1","1","2","1","1","20","547","52","2","[[-1 20] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 3] [-0.4 0] [-0.3 38] [-0.2 16] [-0.1 131] [0.1 196] [0.2 103] [0.3 1] [0.4 12] [0.5 10] [0.6 9] [0.7 6] [0.8 0] [0.9 0] [1 2]]","[[0 0] [0.1 458] [0.2 26] [0.3 36] [0.4 10] [0.5 9] [0.6 5] [0.7 2] [0.8 1] [0.9 0] [1 0]]","[[2 221] [3 153] [1 45] [4 72] [-1 45] [0 11]]","[[5 48] [4 52] [2 125] [1 169] [3 153]]","[[1 435] [3 27] [2 78] [4 7]]","[[2 14] [3 4] [1 1] [4 1]]","[[1 8] [3 3] [4 6] [5 3]]","[[1 12] [2 6] [3 1] [4 1]]","[[-1 45] [2 207] [3 149] [4 71] [1 44] [0 11]]","[[1 161] [2 125] [5 45] [4 46] [3 150]]","[[1 423] [2 72] [3 26] [4 6]]","[[2 221] [3 153] [1 45] [4 72] [-1 45] [0 11]]","[[5 48] [4 52] [2 125] [1 169] [3 153]]","[[1 435] [3 27] [2 78] [4 7]]","0","1"
"3","20","inputs/palermo/data/","1","1","1","1","2","1","21","547","47","6","[[-1 20] [-0.9 0] [-0.8 11] [-0.7 4] [-0.6 17] [-0.5 14] [-0.4 0] [-0.3 0] [-0.2 20] [-0.1 15] [0.1 369] [0.2 34] [0.3 1] [0.4 8] [0.5 11] [0.6 12] [0.7 6] [0.8 0] [0.9 0] [1 5]]","[[0 0] [0.1 345] [0.2 102] [0.3 45] [0.4 17] [0.5 9] [0.6 4] [0.7 5] [0.8 20] [0.9 0] [1 0]]","[[2 210] [-1 49] [3 156] [4 75] [1 40] [0 17]]","[[1 188] [3 156] [2 102] [4 67] [5 34]]","[[2 94] [1 425] [3 19] [4 9]]","[[2 13] [1 2] [4 3] [3 3]]","[[1 12] [4 3] [2 5] [3 1]]","[[2 6] [1 15]]","[[1 38] [4 72] [-1 49] [2 197] [0 17] [3 153]]","[[3 155] [1 176] [4 64] [2 97] [5 34]]","[[1 410] [2 88] [4 9] [3 19]]","[[2 210] [-1 49] [3 156] [4 75] [1 40] [0 17]]","[[1 188] [3 156] [2 102] [4 67] [5 34]]","[[2 94] [1 425] [3 19] [4 9]]","0","1"
"4","20","inputs/palermo/data/","1","1","1","1","2","2","20","5","97","10","[[-1 3] [-0.9 1] [-0.8 1] [-0.7 1] [-0.6 0] [-0.5 21] [-0.4 16] [-0.3 0] [-0.2 1] [-0.1 187] [0.1 259] [0.2 14] [0.3 6] [0.4 15] [0.5 5] [0.6 4] [0.7 10] [0.8 0] [0.9 0] [1 4]]","[[0 0] [0.1 356] [0.2 102] [0.3 24] [0.4 27] [0.5 7] [0.6 6] [0.7 5] [0.8 2] [0.9 13] [1 6]]","[[2 4] [3 1]]","[[2 1] [4 1] [1 1] [3 2]]","[[1 4] [2 1]]","[[2 15] [4 1] [3 4]]","[[1 7] [3 9] [4 1] [2 3]]","[[1 15] [2 3] [3 2]]","[[2 194] [1 43] [-1 56] [3 146] [0 15] [4 74]]","[[2 118] [4 56] [3 126] [1 194] [5 34]]","[[1 428] [2 70] [3 23] [4 7]]","[[4 75] [3 150] [2 209] [1 43] [-1 56] [0 15]]","[[2 121] [1 201] [5 34] [4 57] [3 135]]","[[1 443] [2 73] [3 25] [4 7]]","0","1"
"2","20","inputs/palermo/data/","1","1","1","1","1","2","20","2","119","7","[[-1 84] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 117] [0.1 259] [0.2 33] [0.3 7] [0.4 24] [0.5 7] [0.6 4] [0.7 3] [0.8 0] [0.9 0] [1 6]]","[[0 0] [0.1 292] [0.2 143] [0.3 48] [0.4 22] [0.5 10] [0.6 7] [0.7 1] [0.8 1] [0.9 20] [1 0]]","[[2 2]]","[[5 1] [2 1]]","[[1 2]]","[[-1 1] [3 2] [4 3] [1 1] [2 13]]","[[3 9] [5 3] [1 5] [2 3]]","[[1 18] [2 2]]","[[3 164] [-1 48] [2 208] [4 49] [1 40] [0 15]]","[[4 69] [5 51] [3 121] [2 106] [1 177]]","[[2 93] [1 407] [3 22] [4 2]]","[[2 221] [3 166] [4 52] [1 41] [-1 49] [0 15]]","[[1 182] [3 130] [2 109] [5 54] [4 69]]","[[1 425] [2 95] [3 22] [4 2]]","0","1"
"8","20","inputs/palermo/data/","1","1","1","2","2","2","26","3","100","13","[[-1 33] [-0.9 0] [-0.8 0] [-0.7 2] [-0.6 1] [-0.5 1] [-0.4 1] [-0.3 2] [-0.2 34] [-0.1 180] [0.1 257] [0.2 17] [0.3 0] [0.4 7] [0.5 4] [0.6 3] [0.7 4] [0.8 0] [0.9 0] [1 1]]","[[0 0] [0.1 286] [0.2 154] [0.3 25] [0.4 28] [0.5 19] [0.6 8] [0.7 3] [0.8 1] [0.9 8] [1 15]]","[[2 2] [3 1]]","[[1 1] [3 1] [2 1]]","[[2 1] [1 2]]","[[4 4] [3 8] [2 13] [0 1]]","[[4 4] [3 1] [1 13] [2 7] [5 1]]","[[3 1] [1 18] [2 7]]","[[3 146] [4 66] [2 205] [-1 53] [1 32] [0 19]]","[[3 154] [2 108] [1 181] [5 35] [4 43]]","[[1 412] [2 84] [3 22] [4 3]]","[[3 154] [-1 53] [2 218] [4 70] [1 32] [0 20]]","[[1 194] [2 115] [3 155] [5 36] [4 47]]","[[1 430] [2 91] [3 23] [4 3]]","0","1"
"6","20","inputs/palermo/data/","1","1","1","2","1","2","20","0","102","2","[[-1 25] [-0.9 0] [-0.8 0] [-0.7 1] [-0.6 0] [-0.5 3] [-0.4 3] [-0.3 38] [-0.2 20] [-0.1 149] [0.1 186] [0.2 97] [0.3 1] [0.4 5] [0.5 7] [0.6 7] [0.7 4] [0.8 0] [0.9 0] [1 0]]","[[0 0] [0.1 444] [0.2 22] [0.3 17] [0.4 15] [0.5 11] [0.6 7] [0.7 7] [0.8 3] [0.9 1] [1 19]]","[]","[]","[]","[[2 14] [1 1] [3 4] [4 1]]","[[1 8] [4 6] [5 3] [3 3]]","[[1 12] [3 1] [2 6] [4 1]]","[[-1 45] [2 206] [3 149] [1 44] [4 71] [0 11]]","[[2 124] [3 150] [1 161] [4 46] [5 45]]","[[1 422] [4 6] [3 26] [2 72]]","[[2 220] [3 153] [4 72] [-1 45] [1 45] [0 11]]","[[1 169] [2 124] [4 52] [3 153] [5 48]]","[[1 434] [3 27] [4 7] [2 78]]","0","1"
"7","20","inputs/palermo/data/","1","1","1","2","2","1","20","547","48","2","[[-1 9] [-0.9 0] [-0.8 16] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 19] [-0.1 72] [0.1 294] [0.2 82] [0.3 3] [0.4 26] [0.5 11] [0.6 6] [0.7 4] [0.8 1] [0.9 0] [1 4]]","[[0 0] [0.1 374] [0.2 99] [0.3 18] [0.4 11] [0.5 13] [0.6 8] [0.7 3] [0.8 19] [0.9 2] [1 0]]","[[4 68] [3 155] [2 199] [-1 61] [1 48] [0 16]]","[[4 55] [1 172] [3 144] [2 125] [5 51]]","[[3 21] [1 433] [2 88] [4 5]]","[[2 9] [4 3] [3 7] [1 1]]","[[2 6] [5 3] [4 2] [1 3] [3 6]]","[[1 13] [2 7]]","[[2 190] [-1 61] [3 148] [1 47] [4 65] [0 16]]","[[1 169] [2 119] [5 48] [3 138] [4 53]]","[[1 420] [2 81] [4 5] [3 21]]","[[4 68] [3 155] [2 199] [-1 61] [1 48] [0 16]]","[[4 55] [1 172] [3 144] [2 125] [5 51]]","[[3 21] [1 433] [2 88] [4 5]]","1","1"
"3","20","inputs/palermo/data/","1","1","1","1","2","2","21","0","95","6","[[-1 26] [-0.9 0] [-0.8 12] [-0.7 8] [-0.6 18] [-0.5 14] [-0.4 0] [-0.3 0] [-0.2 25] [-0.1 18] [0.1 381] [0.2 24] [0.3 2] [0.4 4] [0.5 3] [0.6 4] [0.7 3] [0.8 0] [0.9 0] [1 2]]","[[0 0] [0.1 340] [0.2 103] [0.3 44] [0.4 19] [0.5 8] [0.6 5] [0.7 5] [0.8 20] [0.9 0] [1 0]]","[]","[]","[]","[[2 13] [4 3] [1 2] [3 3]]","[[1 12] [2 5] [3 1] [4 3]]","[[2 6] [1 15]]","[[4 72] [-1 49] [1 38] [3 152] [2 195] [0 17]]","[[1 176] [3 154] [2 95] [4 64] [5 34]]","[[1 408] [2 87] [4 9] [3 19]]","[[0 17] [-1 49] [3 155] [4 75] [1 40] [2 208]]","[[1 188] [4 67] [2 100] [5 34] [3 155]]","[[1 423] [2 93] [3 19] [4 9]]","2","1"
"4","20","inputs/palermo/data/","1","1","1","1","2","3","20","3","143","13","[[-1 4] [-0.9 1] [-0.8 1] [-0.7 1] [-0.6 0] [-0.5 20] [-0.4 16] [-0.3 0] [-0.2 2] [-0.1 185] [0.1 256] [0.2 17] [0.3 6] [0.4 14] [0.5 4] [0.6 4] [0.7 10] [0.8 2] [0.9 0] [1 4]]","[[0 0] [0.1 356] [0.2 102] [0.3 25] [0.4 25] [0.5 7] [0.6 6] [0.7 5] [0.8 2] [0.9 7] [1 12]]","[[2 3]]","[[3 2] [4 1]]","[[1 3]]","[[2 15] [4 1] [3 4]]","[[3 9] [1 7] [2 3] [4 1]]","[[2 3] [1 15] [3 2]]","[[3 145] [2 194] [-1 56] [1 43] [4 74] [0 15]]","[[1 193] [2 118] [3 126] [5 34] [4 56]]","[[1 427] [2 70] [3 23] [4 7]]","[[2 209] [1 43] [3 149] [4 75] [0 15] [-1 56]]","[[3 135] [1 200] [5 34] [2 121] [4 57]]","[[1 442] [2 73] [3 25] [4 7]]","0","1"
"5","20","inputs/palermo/data/","1","1","1","2","1","1","21","548","51","4","[[-1 49] [-0.9 0] [-0.8 1] [-0.7 14] [-0.6 13] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 63] [-0.1 63] [0.1 278] [0.2 29] [0.3 0] [0.4 10] [0.5 12] [0.6 6] [0.7 5] [0.8 0] [0.9 0] [1 5]]","[[0 0] [0.1 348] [0.2 106] [0.3 40] [0.4 14] [0.5 9] [0.6 7] [0.7 3] [0.8 21] [0.9 0] [1 0]]","[[2 222] [3 152] [4 79] [-1 43] [1 34] [0 18]]","[[3 110] [5 46] [2 102] [4 67] [1 223]]","[[2 107] [1 408] [4 9] [3 24]]","[[3 8] [2 9] [1 1] [4 3]]","[[2 7] [1 3] [3 11]]","[[2 9] [1 12]]","[[3 144] [4 76] [2 213] [1 33] [-1 43] [0 18]]","[[1 220] [4 67] [3 99] [5 46] [2 95]]","[[1 396] [2 98] [4 9] [3 24]]","[[2 222] [3 152] [4 79] [-1 43] [1 34] [0 18]]","[[3 110] [5 46] [2 102] [4 67] [1 223]]","[[2 107] [1 408] [4 9] [3 24]]","3","1"
