size,p
1,0.2820801951962931
2,0.25447100342132306
3,0.2052870794062523
4,0.1803756912881339
5,0.05575717457983921
6,0.015016875704757909
7,0.004548935695290582
8,0.0018280409943003605
9,6.35003713809599e-4
