child_number,age_of_mother,age_of_child,p
1,50,13,0.0484351713859911
1,50,14,0.0417287630402385
1,50,15,0.043964232488822703
1,50,16,0.0573770491803279
1,50,17,0.0506706408345753
1,50,18,0.0596125186289121
1,50,19,0.0588673621460507
1,50,20,0.0543964232488823
1,50,21,0.0566318926974665
1,50,22,0.0692995529061103
1,50,23,0.0529061102831595
1,50,24,0.0566318926974665
1,50,25,0.0484351713859911
1,50,26,0.040983606557377
1,50,27,0.0447093889716841
1,50,28,0.0193740685543964
1,50,29,0.0238450074515648
1,50,30,0.0134128166915052
1,50,31,0.011177347242921
1,50,32,0.00447093889716841
1,50,33,0.00670640834575261
1,50,34,0.0014903129657228
1,50,35,7.45156482861401e-4
1,51,0,6.85400959561343e-4
1,51,3,0.00274160383824537
1,51,4,6.85400959561343e-4
1,51,5,6.85400959561343e-4
1,51,6,0.0047978067169294
1,51,7,0.0047978067169294
1,51,8,0.00411240575736806
1,51,9,0.00822481151473612
1,51,10,0.0178204249485949
1,51,11,0.0253598355037697
1,51,12,0.0226182316655243
1,51,13,0.0281014393420151
1,51,14,0.0370116518163125
1,51,15,0.0431802604523646
1,51,16,0.0445510623714873
1,51,17,0.0534612748457848
1,51,18,0.047978067169294
1,51,19,0.0466072652501714
1,51,20,0.0685400959561343
1,51,21,0.0753941055517478
1,51,22,0.0555174777244688
1,51,23,0.0733379026730637
1,51,24,0.069910897875257
1,51,25,0.0623714873200822
1,51,26,0.0534612748457848
1,51,27,0.0472926662097327
1,51,28,0.0294722412611378
1,51,29,0.023989033584647
1,51,30,0.0171350239890336
1,51,31,0.0123372172721042
1,51,32,0.00822481151473612
1,51,33,0.00548320767649075
1,51,34,0.00274160383824537
1,51,35,0.00137080191912269
1,52,1,6.765899864682e-4
1,52,6,0.0020297699594046
1,52,7,0.0074424898511502
1,52,8,0.003382949932341
1,52,9,0.0081190798376184
1,52,10,0.0128552097428958
1,52,11,0.0216508795669824
1,52,12,0.0230040595399188
1,52,13,0.0243572395128552
1,52,14,0.0324763193504736
1,52,15,0.0378890392422192
1,52,16,0.0412719891745602
1,52,17,0.0480378890392422
1,52,18,0.0520974289580514
1,52,19,0.0548037889039242
1,52,20,0.0581867388362652
1,52,21,0.0568335588633288
1,52,22,0.0723951285520974
1,52,23,0.0717185385656292
1,52,24,0.060893098782138
1,52,25,0.0663058186738836
1,52,26,0.0588633288227334
1,52,27,0.0500676589986468
1,52,28,0.0351826792963464
1,52,29,0.0277401894451962
1,52,30,0.0243572395128552
1,52,31,0.0162381596752368
1,52,32,0.0155615696887686
1,52,33,0.0081190798376184
1,52,34,0.0040595399188092
1,52,35,0.0027063599458728
1,52,36,6.765899864682e-4
1,53,2,6.2266500622665e-4
1,53,6,6.2266500622665e-4
1,53,7,0.0024906600249066
1,53,8,0.00186799501867995
1,53,9,0.0062266500622665
1,53,10,0.0037359900373599
1,53,11,0.012453300124533
1,53,12,0.014321295143213
1,53,13,0.0242839352428394
1,53,14,0.0317559153175592
1,53,15,0.026774595267746
1,53,16,0.0292652552926526
1,53,17,0.0442092154420922
1,53,18,0.0473225404732254
1,53,19,0.062266500622665
1,53,20,0.0535491905354919
1,53,21,0.0653798256537983
1,53,22,0.0579078455790785
1,53,23,0.0647571606475716
1,53,24,0.0753424657534247
1,53,25,0.0603985056039851
1,53,26,0.0703611457036115
1,53,27,0.0554171855541719
1,53,28,0.0485678704856787
1,53,29,0.0448318804483188
1,53,30,0.0273972602739726
1,53,31,0.0224159402241594
1,53,32,0.0168119551681196
1,53,33,0.0130759651307597
1,53,34,0.00435865504358655
1,53,35,0.00684931506849315
1,53,36,0.00435865504358655
1,54,3,6.18429189857761e-4
1,54,7,0.00247371675943105
1,54,8,0.00123685837971552
1,54,10,0.00309214594928881
1,54,11,0.00309214594928881
1,54,12,0.00742115027829314
1,54,13,0.0123685837971552
1,54,14,0.0228818800247372
1,54,15,0.0148423005565863
1,54,16,0.0278293135435993
1,54,17,0.0290661719233148
1,54,18,0.0507111935683364
1,54,19,0.0439084724799011
1,54,20,0.054421768707483
1,54,21,0.0556586270871985
1,54,22,0.0723562152133581
1,54,23,0.0612244897959184
1,54,24,0.0822510822510823
1,54,25,0.0760667903525046
1,54,26,0.0655534941249227
1,54,27,0.0575139146567718
1,54,28,0.0705009276437848
1,54,29,0.0401978973407545
1,54,30,0.0383426097711812
1,54,31,0.0247371675943105
1,54,32,0.0179344465058751
1,54,33,0.0228818800247372
1,54,34,0.0185528756957328
1,54,35,0.00618429189857761
1,54,36,0.00618429189857761
1,54,37,0.00742115027829314
1,54,38,0.00185528756957328
1,54,39,6.18429189857761e-4
1,55,5,0.00118623962040332
1,55,8,5.93119810201661e-4
1,55,9,0.00177935943060498
1,55,10,5.93119810201661e-4
1,55,11,0.00652431791221827
1,55,12,0.00652431791221827
1,55,13,0.0154211150652432
1,55,14,0.0130486358244365
1,55,15,0.0172004744958482
1,55,16,0.0219454329774614
1,55,17,0.0231316725978648
1,55,18,0.0344009489916963
1,55,19,0.0409252669039146
1,55,20,0.0498220640569395
1,55,21,0.0521945432977461
1,55,22,0.0640569395017794
1,55,23,0.0622775800711744
1,55,24,0.0676156583629893
1,55,25,0.0735468564650059
1,55,26,0.0711743772241993
1,55,27,0.0688018979833926
1,55,28,0.0747330960854092
1,55,29,0.0545670225385528
1,55,30,0.0492289442467378
1,55,31,0.0272835112692764
1,55,32,0.0278766310794781
1,55,33,0.0249110320284698
1,55,34,0.0172004744958482
1,55,35,0.0118623962040332
1,55,36,0.0106761565836299
1,55,37,0.00355871886120996
1,55,38,0.00237247924080664
1,55,39,0.00237247924080664
1,55,40,5.93119810201661e-4
1,56,7,0.00123762376237624
1,56,9,6.18811881188119e-4
1,56,10,6.18811881188119e-4
1,56,11,0.00433168316831683
1,56,12,0.00433168316831683
1,56,13,0.00433168316831683
1,56,14,0.00928217821782178
1,56,15,0.0198019801980198
1,56,16,0.0160891089108911
1,56,17,0.0278465346534653
1,56,18,0.0290841584158416
1,56,19,0.0303217821782178
1,56,20,0.0482673267326733
1,56,21,0.0451732673267327
1,56,22,0.0501237623762376
1,56,23,0.0556930693069307
1,56,24,0.0550742574257426
1,56,25,0.0705445544554455
1,56,26,0.083539603960396
1,56,27,0.077970297029703
1,56,28,0.0649752475247525
1,56,29,0.0680693069306931
1,56,30,0.0495049504950495
1,56,31,0.0396039603960396
1,56,32,0.0358910891089109
1,56,33,0.0327970297029703
1,56,34,0.0198019801980198
1,56,35,0.0204207920792079
1,56,36,0.0160891089108911
1,56,37,0.00804455445544554
1,56,38,0.00556930693069307
1,56,39,0.00247524752475248
1,56,40,0.00247524752475248
1,57,4,0.00122699386503067
1,57,7,6.13496932515337e-4
1,57,8,0.00184049079754601
1,57,9,6.13496932515337e-4
1,57,10,6.13496932515337e-4
1,57,11,0.00122699386503067
1,57,12,0.00122699386503067
1,57,13,0.00429447852760736
1,57,14,0.00613496932515337
1,57,15,0.0098159509202454
1,57,16,0.0134969325153374
1,57,17,0.0147239263803681
1,57,18,0.0245398773006135
1,57,19,0.0251533742331288
1,57,20,0.0429447852760736
1,57,21,0.0441717791411043
1,57,22,0.049079754601227
1,57,23,0.0503067484662577
1,57,24,0.0674846625766871
1,57,25,0.0650306748466258
1,57,26,0.0834355828220859
1,57,27,0.0803680981595092
1,57,28,0.0687116564417178
1,57,29,0.0644171779141104
1,57,30,0.054601226993865
1,57,31,0.0503067484662577
1,57,32,0.0343558282208589
1,57,33,0.0319018404907975
1,57,34,0.0251533742331288
1,57,35,0.0263803680981595
1,57,36,0.0202453987730061
1,57,37,0.0134969325153374
1,57,38,0.0098159509202454
1,57,39,0.00429447852760736
1,57,40,0.00552147239263804
1,57,41,0.00184049079754601
1,57,43,6.13496932515337e-4
1,58,11,0.00122549019607843
1,58,12,0.00183823529411765
1,58,13,0.00183823529411765
1,58,14,0.00367647058823529
1,58,15,0.00428921568627451
1,58,16,0.0079656862745098
1,58,17,0.0104166666666667
1,58,18,0.0134803921568627
1,58,19,0.0275735294117647
1,58,20,0.0208333333333333
1,58,21,0.0343137254901961
1,58,22,0.0441176470588235
1,58,23,0.0490196078431373
1,58,24,0.0661764705882353
1,58,25,0.0643382352941176
1,58,26,0.0759803921568627
1,58,27,0.0674019607843137
1,58,28,0.0735294117647059
1,58,29,0.0692401960784314
1,58,30,0.0612745098039216
1,58,31,0.0588235294117647
1,58,32,0.0435049019607843
1,58,33,0.0416666666666667
1,58,34,0.0367647058823529
1,58,35,0.0324754901960784
1,58,36,0.0275735294117647
1,58,37,0.0220588235294118
1,58,38,0.0147058823529412
1,58,39,0.00980392156862745
1,58,40,0.0079656862745098
1,58,41,0.00306372549019608
1,58,42,0.00245098039215686
1,58,43,6.12745098039216e-4
1,59,10,6.56167979002625e-4
1,59,12,6.56167979002625e-4
1,59,13,6.56167979002625e-4
1,59,14,0.00590551181102362
1,59,15,0.005249343832021
1,59,16,0.00590551181102362
1,59,17,0.0144356955380577
1,59,18,0.0183727034120735
1,59,19,0.015748031496063
1,59,20,0.0301837270341207
1,59,21,0.0308398950131234
1,59,22,0.0360892388451444
1,59,23,0.0374015748031496
1,59,24,0.0459317585301837
1,59,25,0.0649606299212598
1,59,26,0.073490813648294
1,59,27,0.068241469816273
1,59,28,0.0616797900262467
1,59,29,0.0721784776902887
1,59,30,0.0656167979002625
1,59,31,0.0623359580052493
1,59,32,0.0498687664041995
1,59,33,0.0433070866141732
1,59,34,0.0393700787401575
1,59,35,0.0360892388451444
