size,p
1,0.2819207040324938
2,0.25432712279028263
3,0.20517100789267198
4,0.180273704940228
5,0.05572564887610197
6,0.015008385002384725
7,0.004546363678323615
8,0.0018270074003415542
9,6.346446759081188e-4
10,3.230918350077696e-4
11,1.115436097050633e-4
12,6.923396464452205e-5
13,3.4616982322261025e-5
14,1.9231656845700572e-5
15,7.692662738280228e-6
