1,0.125,0.0731
3,0.1903,0.1317
6,0.2711,0.2494
12,0.2092,0.2442
24,0.1374,0.1686
36,0.034,0.06
60,0.0236,0.0472
120,0.0083,0.0201
360,0.0011,0.0056
