size,age,p
1,18,2.3193625845885178e-4
1,19,9.686749617987339e-4
1,20,0.0013643309321108928
1,21,0.0021419995634141017
1,22,0.002646802008295132
1,23,0.003042457978607291
1,24,0.0036154769700938658
1,25,0.0049934512115258674
1,26,0.005907552936040166
1,27,0.007176380702903296
1,28,0.0072991704867932765
1,29,0.008090482427417594
1,30,0.008745361274830823
1,31,0.008608928181619733
1,32,0.009523029906134031
1,33,0.010546278105217202
1,34,0.010096048897620606
1,35,0.009714036236629557
1,36,0.009836826020519537
1,37,0.010123335516262825
1,38,0.010928290766208252
1,39,0.011119297096703777
1,40,0.010941934075529361
1,41,0.011296660117878193
1,42,0.01245634141017245
1,43,0.01413446845666885
1,44,0.013274939969438987
1,45,0.014325474787164375
1,46,0.013684239249072255
1,47,0.013820672342283345
1,48,0.014557411045623227
1,49,0.014475551189696572
1,50,0.015607945863348615
1,51,0.015144073346430911
1,52,0.015867168740449685
1,53,0.01705413665138616
1,54,0.015744378956559703
1,55,0.015962671905697445
1,56,0.016153678236192973
1,57,0.015007640253219821
1,58,0.015676162409954158
1,59,0.016904060248853964
1,60,0.016685767299716218
1,61,0.01614003492687186
1,62,0.016017245142981883
1,63,0.01614003492687186
1,64,0.015703449028596377
1,65,0.016235538092119625
1,66,0.01743614931237721
1,67,0.01744979262169832
1,68,0.018445754202139272
1,69,0.019318925998690242
1,70,0.02102433966382886
1,71,0.019919231608819036
1,72,0.018759550316524775
1,73,0.019168849596158045
1,74,0.016221894782798514
1,75,0.018282034490285964
1,76,0.017736302117441607
1,77,0.0204786072909845
1,78,0.01933256930801135
1,79,0.020737830168085572
1,80,0.019264352761405805
1,81,0.016999563414101724
1,82,0.01829567779960707
1,83,0.01728607290984501
1,84,0.01795459506657935
1,85,0.016044531761624098
1,86,0.015144073346430911
1,87,0.014489194499017682
1,88,0.012756494215236848
1,89,0.010232481990831696
1,90,0.008827221130757476
1,91,0.008022265880812049
1,92,0.006207705741104562
1,93,0.005007094520846977
1,94,0.004052062868369352
1,95,0.0030833879065706176
1,96,0.0023875791311940625
1,97,0.001514407334643091
1,98,9.141017245142982e-4
1,99,3.5472604234883216e-4
1,100,3.1379611438550533e-4
1,101,1.9100633049552498e-4
1,102,1.6371971185330714e-4
1,103,1.6371971185330714e-4
1,104,6.821654660554464e-5
1,105,2.7286618642217856e-5
1,108,0
2,18,1.2098847584767551e-4
2,19,3.3271830858110763e-4
2,20,4.5370678442878317e-4
2,21,4.990774628716615e-4
2,22,9.376606878194852e-4
2,23,0.0013762439127673089
2,24,0.0016938386618674571
2,25,0.0025710051117631048
2,26,0.002903723420344212
2,27,0.0038413841081636974
2,28,0.005247875139892925
2,29,0.00621578294667433
2,30,0.006336771422522005
2,31,0.006624119052660234
2,32,0.007032455158646139
2,33,0.0073651734672272465
2,34,0.0073954205861891656
2,35,0.0069417138017603824
2,36,0.0075315326215178
2,37,0.0073651734672272465
2,38,0.008257463476603853
2,39,0.008469193309337285
2,40,0.00862042890414688
2,41,0.008242339917122895
2,42,0.00886240585584223
2,43,0.0089682707722089465
2,44,0.008922900093766069
2,45,0.00890777653428511
2,46,0.009346359759232934
2,47,0.010223526209128581
2,48,0.010344514684976255
2,49,0.010677232993557363
2,50,0.010858715707328877
2,51,0.011781252835667402
2,52,0.012718913523486888
2,53,0.01482108829134025
2,54,0.014518617101721061
2,55,0.014957200326668885
2,56,0.01584949033604549
2,57,0.016257826442031397
2,58,0.017618946795317746
2,59,0.017906294425455976
2,60,0.01996309851486646
2,61,0.0198723571579807
2,62,0.021989655485315025
2,63,0.022760957018843956
2,64,0.024469919240192373
2,65,0.024636278394482927
2,66,0.02581591603399776
2,67,0.027555125374308098
2,68,0.029536311666313785
2,69,0.03074619642479054
2,70,0.030821814222195335
2,71,0.030640331508423824
2,72,0.028492786062127583
2,73,0.029188469798251716
2,74,0.02229212667493421
2,75,0.02348688787393001
2,76,0.02285169837572971
2,77,0.02428843652642086
2,78,0.022791204137805873
2,79,0.021702307855176795
2,80,0.020658782250990593
2,81,0.01668128610749826
2,82,0.017180363570369922
2,83,0.015728501860197815
2,84,0.013838056925077887
2,85,0.013611203532863495
2,86,0.011191434015909985
2,87,0.010359638244457216
2,88,0.008665799582589758
2,89,0.006805601766431748
2,90,0.00512688666404525
2,91,0.0044916971658449534
2,92,0.0031608239315205227
2,93,0.0027978585039774963
2,94,0.0018753213756389703
2,95,0.00134599679380539
2,96,9.679078067814041e-4
2,97,6.351894982002964e-4
2,98,4.5370678442878317e-4
2,99,1.3611203532863496e-4
2,100,7.56177974047972e-5
2,101,9.074135688575663e-5
2,102,4.5370678442878314e-5
2,103,3.024711896191888e-5
2,104,3.024711896191888e-5
2,105,0
2,108,0
3,18,7.498781448014697e-5
3,19,3.3744516516066137e-4
3,20,5.624086086011023e-4
3,21,8.248659592816167e-4
3,22,0.0013685276142626824
3,23,0.0017247197330433805
3,24,0.0023808631097446665
3,25,0.003299463837126467
3,26,0.004218064564508267
3,27,0.004705485358629222
3,28,0.006636421581493007
3,29,0.0076487570769749914
3,30,0.00822991263919613
3,31,0.009373476810018372
3,32,0.010142101908439878
3,33,0.012560458925424619
3,34,0.012916651044205316
3,35,0.014285178658468
3,36,0.014435154287428293
3,37,0.014641370777248697
3,38,0.015522477597390423
3,39,0.016084886205991526
3,40,0.016834764350792997
3,41,0.015897416669791158
3,42,0.017190956469573693
3,43,0.018297026733155863
3,44,0.01818454501143564
3,45,0.01762213640283454
3,46,0.020434179445840053
3,47,0.020246709909639685
3,48,0.021034081961681227
3,49,0.02176521315286266
3,50,0.021334033219601815
3,51,0.023002512091785086
3,52,0.024371039706047766
3,53,0.02435229275242773
3,54,0.02549585692324997
3,55,0.026283228975291516
3,56,0.025177158711709346
3,57,0.02690187844475273
3,58,0.02562708559859023
3,59,0.024446027520527915
3,60,0.025420869108769825
3,61,0.025345881294289677
3,62,0.024596003149488208
3,63,0.023921112819166885
3,64,0.023921112819166885
3,65,0.021352780173221852
3,66,0.021315286265981778
3,67,0.02109032282254134
3,68,0.020059240373439317
3,69,0.019703048254658618
3,70,0.018390761501256046
3,71,0.01756589554197443
3,72,0.013835251771587117
3,73,0.013629035281766714
3,74,0.010629522702560833
3,75,0.010760751377901091
3,76,0.00961718720707885
3,77,0.009542199392598703
3,78,0.00881106820141727
3,79,0.008998537737617636
3,80,0.007423793633534551
3,81,0.006411458138052567
3,82,0.006298976416332346
3,83,0.00650519290615275
3,84,0.005061677477409921
3,85,0.00489295489482959
3,86,0.0030370064864459526
3,87,0.003299463837126467
3,88,0.0030370064864459526
3,89,0.0020809118518240787
3,90,0.0016497319185632335
3,91,0.001312286753402572
3,92,0.0011623111244422782
3,93,7.686250984215065e-4
3,94,6.373964230812493e-4
3,95,4.3117993326084514e-4
3,96,3.1869821154062466e-4
3,97,2.4371039706047766e-4
3,98,1.6872258258033069e-4
3,99,7.498781448014697e-5
3,100,3.749390724007349e-5
3,101,1.8746953620036744e-5
3,102,0
3,103,0
3,104,0
3,105,0
3,108,1.8746953620036744e-5
4,18,0
4,19,6.400819304871024e-5
4,20,6.400819304871024e-5
4,21,1.2801638609742048e-4
4,22,4.907294800401118e-4
4,23,0.0010454671531289338
4,24,0.0014935245044699055
4,25,0.002005590048859587
4,26,0.003008385073289381
4,27,0.003520450617679063
4,28,0.004288548934263585
4,29,0.0056327209882865
4,30,0.006080778339627472
4,31,0.007488958586699098
4,32,0.009323860120762124
4,33,0.010646696110435469
4,34,0.012801638609742047
4,35,0.015617999103885297
4,36,0.017538244895346604
4,37,0.020930679126928246
4,38,0.02218950692355288
4,39,0.02498453135334656
4,40,0.02733149843179927
4,41,0.027459514817896692
4,42,0.02993449828244682
4,43,0.0327295227122405
4,44,0.03334826857837803
4,45,0.03304956367748405
4,46,0.035609891399432464
4,47,0.03317758006358147
4,48,0.034756448825449655
4,49,0.03464976850370181
4,50,0.03428705540975911
4,51,0.033241588256630185
4,52,0.033497621028825024
4,53,0.03452175211760439
4,54,0.03279353090528921
4,55,0.030339883505088653
4,56,0.028270285263180355
4,57,0.026051334570825067
4,58,0.02449380187330645
4,59,0.02240286756704858
4,60,0.020205252939042864
4,61,0.018839744820670377
4,62,0.016471441677868102
4,63,0.017367556380550042
4,64,0.014444515564658943
4,65,0.012737630416693338
4,66,0.01073204036783375
4,67,0.010390663338240628
4,68,0.009302524056412555
4,69,0.00857709786852717
4,70,0.007424950393650387
4,71,0.007574302844097378
4,72,0.006336811111822313
4,73,0.00546203247348994
4,74,0.004139196483816595
4,75,0.003861827647272184
4,76,0.003819155518573044
4,77,0.0034137702959312127
4,78,0.003264417845484222
4,79,0.0032217457167850816
4,80,0.002496319528899699
4,81,0.0025389916575988395
4,82,0.001877573662762167
4,83,0.0022616228210544285
4,84,0.002112270370607438
4,85,0.0016855490836160361
4,86,0.0017282212123151763
4,87,0.0015148605688194755
4,88,0.0012588277966246347
4,89,7.254261878853826e-4
4,90,6.827540591862425e-4
4,91,4.267212869914016e-4
4,92,4.6939341569054175e-4
4,93,4.6939341569054175e-4
4,94,3.627130939426913e-4
4,95,1.2801638609742048e-4
4,96,1.2801638609742048e-4
4,97,4.267212869914016e-5
4,98,6.400819304871024e-5
4,99,0
4,100,4.267212869914016e-5
4,101,0
4,102,4.267212869914016e-5
4,103,0
4,104,0
4,105,0
4,108,0
5,18,0
5,19,6.902263942573165e-5
5,20,6.902263942573165e-5
5,21,2.070679182771949e-4
5,22,2.070679182771949e-4
5,23,6.212037548315848e-4
5,24,0.0013804527885146328
5,25,0.001518498067366096
5,26,0.0027609055770292656
5,27,0.00421038100496963
5,28,0.004072335726118167
5,29,0.006004969630038653
5,30,0.005728879072335726
5,31,0.007454445057979017
5,32,0.010215350635008284
5,33,0.012769188293760354
5,34,0.013804527885146328
5,35,0.014701822197680839
5,36,0.017945886250690227
5,37,0.021949199337382663
5,38,0.023053561568194367
5,39,0.02698785201546107
5,40,0.025538376587520707
5,41,0.029265599116510214
5,42,0.03244064053009387
5,43,0.03202650469353948
5,44,0.03306184428492546
5,45,0.03368304803975704
5,46,0.0340281612368857
5,47,0.031129210381004968
5,48,0.034235229155162895
5,49,0.03368304803975704
5,50,0.03395913859745997
5,51,0.030162893429044726
5,52,0.030577029265599118
5,53,0.03319988956377692
5,54,0.026573716178906682
5,55,0.02533130866924351
5,56,0.024779127553837658
5,57,0.02236333517393705
5,58,0.02270844837106571
5,59,0.02105190502484815
5,60,0.01884318056322474
5,61,0.01649641082274986
5,62,0.017393705135284373
5,63,0.016358365543898398
5,64,0.011733848702374379
5,65,0.011250690226394256
5,66,0.009801214798453892
5,67,0.010629486471562673
5,68,0.009939260077305357
5,69,0.009318056322473772
5,70,0.00924903368304804
5,71,0.00842076200993926
5,72,0.006695196024295969
5,73,0.00717835450027609
5,74,0.006833241303147432
5,75,0.005107675317504142
5,76,0.005521811154058531
5,77,0.006626173384870237
5,78,0.004486471562672557
5,79,0.005521811154058531
5,80,0.005245720596355604
