age_of_head,age_of_partner,p
32,30,0.127877237851662
33,30,0.120204603580563
34,30,0.104006820119352
35,30,0.0861040068201194
36,30,0.0562659846547315
37,30,0.0434782608695652
38,30,0.0383631713554987
39,30,0.0230179028132992
40,30,0.020460358056266
41,30,0.010230179028133
42,30,0.0119352088661552
43,30,0.00852514919011083
44,30,0.00426257459505541
45,30,0.00170502983802217
46,30,0.00255754475703325
47,30,8.52514919011083e-4
48,30,0
49,30,0
50,30,8.52514919011083e-4
51,30,8.52514919011083e-4
52,30,0
53,30,8.52514919011083e-4
54,30,0
55,30,0
56,30,0
57,30,8.52514919011083e-4
58,30,0
59,30,0
60,30,0
61,30,0
62,30,0
63,30,0
64,30,0
65,30,0
66,30,0
67,30,0
68,30,0
69,30,8.52514919011083e-4
70,30,0
71,30,0
72,30,0
73,30,0
74,30,0
75,30,0
76,30,0
77,30,0
78,30,0
79,30,0
80,30,0
81,30,0
82,30,0
83,30,0
84,30,0
85,30,0
86,30,0
87,30,0
88,30,0
89,30,0
90,30,0
91,30,0
92,30,0
93,30,0
94,30,0
95,30,0
96,30,0
97,30,0
98,30,0
99,30,0
100,30,0
101,30,0
102,30,0
18,31,0
19,31,0
20,31,0
21,31,0
22,31,0
23,31,0.00142247510668563
24,31,7.11237553342817e-4
25,31,0.00497866287339972
26,31,0.00711237553342817
27,31,0.0149359886201991
28,31,0.0277382645803698
29,31,0.0440967283072546
30,31,0.0604551920341394
31,31,0.0903271692745377
32,31,0.109530583214794
33,31,0.110241820768137
34,31,0.111664295874822
35,31,0.100284495021337
36,31,0.0881934566145092
37,31,0.0604551920341394
38,31,0.0405405405405405
39,31,0.027027027027027
40,31,0.0263157894736842
41,31,0.0206258890469417
42,31,0.0142247510668563
43,31,0.00924608819345661
44,31,0.00568990042674253
45,31,0.00568990042674253
46,31,0.0085348506401138
47,31,0.00213371266002845
48,31,0.00142247510668563
49,31,7.11237553342817e-4
50,31,7.11237553342817e-4
51,31,7.11237553342817e-4
52,31,0.00142247510668563
53,31,0
54,31,0
55,31,0.00142247510668563
56,31,0
57,31,0.00142247510668563
58,31,0
59,31,0
60,31,0
61,31,0
62,31,0
63,31,0
64,31,0
65,31,0
66,31,0
67,31,0
68,31,0
69,31,0
70,31,0
71,31,0
72,31,0
73,31,0
74,31,0
75,31,0
76,31,0
77,31,0
78,31,0
79,31,0
80,31,0
81,31,0
82,31,0
83,31,0
84,31,0
85,31,0
86,31,0
87,31,0
88,31,0
89,31,0
90,31,0
91,31,0
92,31,0
93,31,0
94,31,0
95,31,0
96,31,0
97,31,0
98,31,0
99,31,0
100,31,0
101,31,0
102,31,0
18,32,0
19,32,0
20,32,0
21,32,0
22,32,0
23,32,0
24,32,0.00133868808567604
25,32,0.00535475234270415
26,32,0.00535475234270415
27,32,0.00736278447121821
28,32,0.0133868808567604
29,32,0.0247657295850067
30,32,0.0301204819277108
31,32,0.0555555555555556
32,32,0.0963855421686747
33,32,0.116465863453815
34,32,0.109772423025435
35,32,0.112449799196787
36,32,0.0930388219544846
37,32,0.0769745649263722
38,32,0.0635876840696118
39,32,0.0495314591700134
40,32,0.0327978580990629
41,32,0.0294511378848728
42,32,0.0180722891566265
43,32,0.0153949129852744
44,32,0.0120481927710843
45,32,0.00535475234270415
46,32,0.00736278447121821
47,32,0.00736278447121821
48,32,0.00267737617135207
49,32,0
50,32,0.00133868808567604
51,32,0.00200803212851406
52,32,0.00200803212851406
53,32,0
54,32,0
55,32,0
56,32,0
57,32,0
58,32,6.69344042838019e-4
59,32,0
60,32,0
61,32,0
62,32,0
63,32,6.69344042838019e-4
64,32,6.69344042838019e-4
65,32,0
66,32,0
67,32,0
68,32,0
69,32,0
70,32,0
71,32,0
72,32,0
73,32,0
74,32,0
75,32,0
76,32,0
77,32,0
78,32,0
79,32,0
80,32,0
81,32,0
82,32,0
83,32,0
84,32,0
85,32,0
86,32,6.69344042838019e-4
87,32,0
88,32,0
89,32,0
90,32,0
91,32,0
92,32,0
93,32,0
94,32,0
95,32,0
96,32,0
97,32,0
98,32,0
99,32,0
100,32,0
101,32,0
102,32,0
18,33,0
19,33,0
20,33,0
21,33,0
22,33,0
23,33,0
24,33,5.63063063063063e-4
25,33,0.00112612612612613
26,33,0.00619369369369369
27,33,0.00506756756756757
28,33,0.00957207207207207
29,33,0.0140765765765766
30,33,0.0197072072072072
31,33,0.0281531531531532
32,33,0.0523648648648649
33,33,0.0760135135135135
34,33,0.11036036036036
35,33,0.130067567567568
36,33,0.108108108108108
37,33,0.0934684684684685
38,33,0.0816441441441441
39,33,0.0726351351351351
40,33,0.0489864864864865
41,33,0.0343468468468468
42,33,0.0315315315315315
43,33,0.0213963963963964
44,33,0.0112612612612613
45,33,0.0157657657657658
46,33,0.00281531531531532
47,33,0.00619369369369369
48,33,0.00281531531531532
49,33,0.00394144144144144
50,33,0.00168918918918919
51,33,0.00281531531531532
52,33,0.00337837837837838
53,33,5.63063063063063e-4
54,33,5.63063063063063e-4
55,33,0
56,33,0
57,33,5.63063063063063e-4
58,33,5.63063063063063e-4
59,33,5.63063063063063e-4
60,33,0
61,33,0
62,33,0
63,33,5.63063063063063e-4
64,33,0
65,33,5.63063063063063e-4
66,33,0
67,33,0
68,33,0
69,33,0
70,33,0
71,33,0
72,33,0
73,33,0
74,33,0
75,33,0
76,33,0
77,33,0
78,33,0
79,33,0
80,33,0
81,33,0
82,33,0
83,33,0
84,33,0
85,33,0
86,33,0
87,33,0
88,33,0
89,33,0
90,33,0
91,33,0
92,33,0
93,33,0
94,33,0
95,33,0
96,33,0
97,33,0
98,33,0
99,33,0
100,33,0
101,33,0
102,33,0
18,34,0
19,34,0
20,34,0
21,34,0
22,34,0
23,34,0
24,34,0.0010482180293501
25,34,0.00157232704402516
26,34,0.0010482180293501
27,34,0.00419287211740042
28,34,0.00471698113207547
29,34,0.0131027253668763
30,34,0.0183438155136268
31,34,0.0246331236897275
32,34,0.040356394129979
33,34,0.0670859538784067
34,34,0.0880503144654088
35,34,0.110062893081761
36,34,0.112683438155136
37,34,0.117924528301887
38,34,0.0948637316561845
39,34,0.0828092243186583
40,34,0.0529350104821803
41,34,0.0424528301886792
42,34,0.0382599580712788
43,34,0.0220125786163522
44,34,0.0162473794549266
45,34,0.0141509433962264
46,34,0.00576519916142558
47,34,0.00628930817610063
48,34,0.00524109014675052
49,34,0.00366876310272537
50,34,0.00366876310272537
51,34,0.0010482180293501
52,34,0.00157232704402516
53,34,5.24109014675052e-4
54,34,0
55,34,0.0010482180293501
56,34,5.24109014675052e-4
57,34,0.00157232704402516
58,34,0
59,34,0
60,34,0
61,34,0
62,34,0
63,34,0
64,34,0
65,34,0
66,34,0
67,34,0
68,34,0
69,34,0
70,34,0
71,34,5.24109014675052e-4
72,34,0
73,34,0
74,34,0
75,34,0
76,34,0
77,34,0
78,34,0
79,34,0
80,34,0
81,34,0
82,34,0
83,34,0
84,34,0
85,34,0
86,34,0
87,34,0
88,34,0
89,34,0
90,34,0
91,34,0
92,34,0
93,34,0
94,34,0
95,34,0
96,34,0
97,34,0
98,34,0
99,34,0
100,34,0
101,34,0
102,34,0
18,35,0
19,35,0
20,35,0
21,35,0
22,35,0
23,35,0
24,35,5.14933058702369e-4
25,35,5.14933058702369e-4
26,35,0.00102986611740474
27,35,0.00308959835221421
28,35,0.00463439752832132
29,35,0.0082389289392379
30,35,0.00772399588053553
31,35,0.0185375901132853
32,35,0.0267765190525232
33,35,0.0463439752832132
34,35,0.0458290422245108
35,35,0.0942327497425335
36,35,0.126673532440783
37,35,0.122039134912461
38,35,0.0957775489186406
39,35,0.0911431513903193
40,35,0.0690010298661174
41,35,0.062821833161689
42,35,0.0447991761071061
43,35,0.0329557157569516
44,35,0.0283213182286303
45,35,0.0149330587023687
46,35,0.0118434603501545
47,35,0.00617919670442842
48,35,0.00669412976313079
49,35,0.00926879505664264
50,35,0.00257466529351184
51,35,0.00360453141091658
52,35,0.00463439752832132
53,35,0.00205973223480947
54,35,5.14933058702369e-4
55,35,0
56,35,0.00102986611740474
57,35,0.00154479917610711
58,35,0
59,35,0
60,35,0.00102986611740474
61,35,5.14933058702369e-4
62,35,0
63,35,0
64,35,5.14933058702369e-4
65,35,0
66,35,0
67,35,0
68,35,0
69,35,5.14933058702369e-4
70,35,0
71,35,5.14933058702369e-4
72,35,0
73,35,0
74,35,0
75,35,0
76,35,5.14933058702369e-4
77,35,0
78,35,0
79,35,0
80,35,0
81,35,0
82,35,0
83,35,0
84,35,5.14933058702369e-4
85,35,0
86,35,0
87,35,0
88,35,0
89,35,0
90,35,0
91,35,0
92,35,0
93,35,0
94,35,0
95,35,0
96,35,0
97,35,0
98,35,0
99,35,0
100,35,0
101,35,0
102,35,0
18,36,0
19,36,0
20,36,0
21,36,4.63606861381548e-4
22,36,0
23,36,0
24,36,0
25,36,9.27213722763097e-4
26,36,4.63606861381548e-4
27,36,0.00139082058414465
28,36,0.00370885489105239
29,36,0.00370885489105239
30,36,0.00556328233657858
31,36,0.0115901715345387
32,36,0.0120537783959203
33,36,0.0301344459898006
34,36,0.0496059341678257
35,36,0.0621233194251275
36,36,0.0899397311080204
37,36,0.103384330088085
38,36,0.102457116365322
39,36,0.115438108484006
40,36,0.107556791840519
41,36,0.076031525266574
42,36,0.0556328233657858
43,36,0.0454334724153917
44,36,0.0370885489105239
45,36,0.0203987019007881
46,36,0.0217895224849328
47,36,0.0111265646731572
48,36,0.00788131664348632
49,36,0.00509967547519703
50,36,0.00417246175243394
51,36,0.00417246175243394
52,36,0.00185442744552619
53,36,0.00278164116828929
54,36,0.00185442744552619
55,36,4.63606861381548e-4
56,36,0
57,36,0.00139082058414465
58,36,4.63606861381548e-4
59,36,4.63606861381548e-4
60,36,0
61,36,0
62,36,4.63606861381548e-4
63,36,0
64,36,0
65,36,0
66,36,0
67,36,0
68,36,0
69,36,0
70,36,4.63606861381548e-4
71,36,0
72,36,0
73,36,0
74,36,0
75,36,0
76,36,4.63606861381548e-4
77,36,0
78,36,0
79,36,0
80,36,0
81,36,0
82,36,0
83,36,0
84,36,0
85,36,0
86,36,0
87,36,0
88,36,0
89,36,0
90,36,0
91,36,0
92,36,0
93,36,0
94,36,0
95,36,0
96,36,0
97,36,0
98,36,0
99,36,0
100,36,0
101,36,0
102,36,0
18,37,0
19,37,0
20,37,0
21,37,0
22,37,4.31778929188256e-4
23,37,0
24,37,0
25,37,4.31778929188256e-4
26,37,0.00172711571675302
27,37,8.63557858376511e-4
28,37,0.00172711571675302
29,37,0.00431778929188256
30,37,0.00604490500863558
31,37,0.00561312607944732
32,37,0.0107944732297064
33,37,0.0164075993091537
34,37,0.0293609671848014
35,37,0.0397236614853195
36,37,0.0582901554404145
37,37,0.0949913644214162
38,37,0.114853195164076
39,37,0.118307426597582
40,37,0.102763385146805
41,37,0.0829015544041451
42,37,0.0846286701208981
43,37,0.0639032815198618
44,37,0.0479274611398964
45,37,0.0241796200345423
46,37,0.0228842832469775
47,37,0.0181347150259067
48,37,0.0129533678756477
49,37,0.00863557858376511
50,37,0.00604490500863558
51,37,0.00474956822107081
52,37,0.00129533678756477
53,37,0.00302245250431779
54,37,0.00259067357512953
55,37,0.00302245250431779
56,37,8.63557858376511e-4
57,37,0.00172711571675302
58,37,4.31778929188256e-4
59,37,4.31778929188256e-4
60,37,8.63557858376511e-4
61,37,0
62,37,4.31778929188256e-4
63,37,0
64,37,4.31778929188256e-4
65,37,0
66,37,0
67,37,0
68,37,0
69,37,0
70,37,0
71,37,0
72,37,0
73,37,4.31778929188256e-4
74,37,0
75,37,0
76,37,4.31778929188256e-4
77,37,0
78,37,0
79,37,0
80,37,4.31778929188256e-4
81,37,0
82,37,0
83,37,0
84,37,0
85,37,0
86,37,0
87,37,0
88,37,0
89,37,0
90,37,0
91,37,0
92,37,0
93,37,0
94,37,0
95,37,0
96,37,0
97,37,0
98,37,0
99,37,0
100,37,0
101,37,0
102,37,0
18,38,0
19,38,0
20,38,0
21,38,0
22,38,0
23,38,0
24,38,0
25,38,0
26,38,7.71307365985345e-4
27,38,7.71307365985345e-4
28,38,7.71307365985345e-4
29,38,0.00308522946394138
30,38,0.00308522946394138
31,38,0.00655611261087543
32,38,0.00578480524489009
33,38,0.0146548399537216
34,38,0.0134978789047435
35,38,0.0316236020053992
36,38,0.0404936367142306
37,38,0.0628615503278056
38,38,0.086000771307366
39,38,0.0979560354801389
40,38,0.114924797531816
41,38,0.113767836482838
42,38,0.0937138449672194
43,38,0.0802159660624759
44,38,0.0609332819128423
45,38,0.0482067103740841
46,38,0.0366370998843039
47,38,0.023524874662553
48,38,0.0177400694176629
49,38,0.0111839568067875
50,38,0.00732741997686078
51,38,0.00655611261087543
52,38,0.00347088314693405
53,38,0.00308522946394138
54,38,0.00154261473197069
55,38,0.00462784419591207
56,38,0
57,38,0.00115696104897802
58,38,3.85653682992673e-4
59,38,7.71307365985345e-4
60,38,0
61,38,7.71307365985345e-4
62,38,3.85653682992673e-4
63,38,0
64,38,3.85653682992673e-4
65,38,0
66,38,3.85653682992673e-4
67,38,0
68,38,0
69,38,0
70,38,3.85653682992673e-4
71,38,0
72,38,0
73,38,0
74,38,0
75,38,0
76,38,0
