age,male?,p
0,true,0.004423964512533568
1,true,0.0042863234117039815
2,true,0.004667828636829467
3,true,0.004759090671075172
4,true,0.004603496383180856
5,true,0.004857833199931179
6,true,0.004854841002087058
7,true,0.004667828636829467
8,true,0.004851848804242937
9,true,0.005140595896200657
10,true,0.004811454133347297
11,true,0.005160045182187446
12,true,0.005260283809965515
13,true,0.005318631667925883
14,true,0.005109177818837382
15,true,0.0050837441371623495
16,true,0.005267764304575819
17,true,0.005381467822652434
18,true,0.005655253925389547
19,true,0.005560999693299721
20,true,0.005728562772570523
21,true,0.005798879421907377
22,true,0.005819824806816227
23,true,0.005834785796036834
24,true,0.006246212999603534
25,true,0.006552913278625983
26,true,0.006385350199355181
27,true,0.006436217562705246
28,true,0.006376373605822817
29,true,0.006256685692057959
30,true,0.005857227279867745
31,true,0.0059245517313604775
32,true,0.00665015970855993
33,true,0.006125028986916615
34,true,0.005966442501178178
35,true,0.006065185030034186
36,true,0.006015813765606182
37,true,0.006475116134678825
38,true,0.006517006904496525
39,true,0.006519999102340647
40,true,0.006502045915275918
41,true,0.006720476357896784
42,true,0.007148360649606152
43,true,0.007458053126472722
44,true,0.007097493286256087
45,true,0.007241118782773917
46,true,0.007274032959059253
47,true,0.006874574546869039
48,true,0.0073473418062402285
49,true,0.007084028395957541
50,true,0.007113950374398755
51,true,0.0072471031784621595
52,true,0.007407185763122657
53,true,0.007431123345875629
54,true,0.007116942572242877
55,true,0.006932922404829407
56,true,0.006822211084596914
57,true,0.006431729265939064
58,true,0.0064062955842640315
59,true,0.006298576461875659
60,true,0.006371885309056635
61,true,0.006098099206319521
62,true,0.006080146019254793
63,true,0.005885653159386899
64,true,0.005607378759883604
65,true,0.0055430465062349926
66,true,0.005418870295703952
67,true,0.005782422333764708
68,true,0.005324616063614126
69,true,0.005400917108639223
70,true,0.005362018536665645
71,true,0.005007443092137252
72,true,0.0043581361599628965
73,true,0.004058916375550751
74,true,0.0033078747166762667
75,true,0.003524809060375072
76,true,0.0032974020242218416
77,true,0.0033512615854160276
78,true,0.003020623723640607
79,true,0.0029742446570567246
80,true,0.0024939969030752314
81,true,0.0023084806367397012
82,true,0.0020750892048982277
83,true,0.001855162663355301
84,true,0.0018207523881479044
85,true,0.0015694077692417023
86,true,0.0013405046341664112
87,true,0.0012223128193236136
88,true,9.036437489246789e-4
89,true,7.794675383936386e-4
90,true,5.894629752919263e-4
91,true,5.041853367344648e-4
92,true,3.815052251254853e-4
93,true,2.6780170704887005e-4
94,true,2.0496555232231954e-4
95,true,1.5858648573843702e-4
96,true,1.1819181484279741e-4
97,true,4.937126442800398e-5
98,true,3.441027520739671e-5
99,true,1.795318706472872e-5
0,false,0.004238448246198038
1,false,0.004162147201172942
2,false,0.004480816271571876
3,false,0.004371601050261444
4,false,0.004480816271571876
5,false,0.00459152759180437
6,false,0.004702238912036864
7,false,0.004624441768089706
8,false,0.0046812935271280135
9,false,0.004887755178372394
10,false,0.005032876773812285
11,false,0.0049835055093842805
12,false,0.004932638146034216
13,false,0.004902716167593002
14,false,0.004893739574060637
15,false,0.004993978201838706
16,false,0.0049251576514239125
17,false,0.005131619302668293
18,false,0.005121146610213867
19,false,0.0052632760078096365
20,false,0.00525130721643315
21,false,0.00543682348276868
22,false,0.005547534803001174
23,false,0.00568218370598664
24,false,0.005893133653997202
25,false,0.006331490638160995
26,false,0.006126525085838675
27,false,0.006020302062372364
28,false,0.006092114810631279
29,false,0.0060831382170989145
30,false,0.005870692170166291
31,false,0.0057734457402323445
32,false,0.005997860578541453
33,false,0.006047231842969457
34,false,0.005979907391476725
35,false,0.006172904152422558
36,false,0.006312041352174206
37,false,0.006665120697780537
38,false,0.00683567597489546
39,false,0.006696538775143812
40,false,0.006989774163867715
41,false,0.0072321421892415525
42,false,0.007529865874731637
43,false,0.007701917250768621
44,false,0.007504432193056605
45,false,0.007628608403587645
46,false,0.007950269671830702
47,false,0.007380255982525565
48,false,0.007938300880454215
49,false,0.008010113628713131
50,false,0.007839558351598207
51,false,0.008078934179127924
52,false,0.008129801542477989
53,false,0.008384138359228311
54,false,0.008020586321167556
55,false,0.008022082420089616
56,false,0.007673491371249467
57,false,0.0074625414232389045
58,false,0.007423642851265326
59,false,0.007058594714282509
60,false,0.007257575870916585
61,false,0.0069523716908161965
62,false,0.006763863226636546
63,false,0.0068940238328558286
64,false,0.006430233167017003
65,false,0.006612757235508412
66,false,0.0062043222297858336
67,false,0.006252197395291777
68,false,0.00640330338641991
69,false,0.006540944487249497
70,false,0.006491573222821493
71,false,0.005964946402256117
72,false,0.00520941644661545
73,false,0.004996970399682827
74,false,0.004341679071820229
75,false,0.004453886490974783
76,false,0.00446884748019539
77,false,0.004814446331191418
78,false,0.004425460611455629
79,false,0.0043147492912231356
80,false,0.0038345015372416424
81,false,0.003590637412945744
82,false,0.0035696920280368937
83,false,0.003530793456063315
84,false,0.003180706308301105
85,false,0.002851564545447745
86,false,0.0026391184985151217
87,false,0.0026241575092945143
88,false,0.001920991015925973
89,false,0.0018267367838361473
90,false,0.0014272783716459331
91,false,0.0012686918859074962
92,false,0.0010248277616115979
93,false,8.797061661717073e-4
94,false,6.702523170832056e-4
95,false,5.1465802918889e-4
96,false,3.306378617754206e-4
97,false,2.707939048929915e-4
98,false,1.2118401268691885e-4
99,false,6.582835257067198e-5
