months,F,M
1,0.135167397354478,0.078947866071776
3,0.19269400131653,0.131143083933566
6,0.262419887899263,0.236163183846043
12,0.205487284788606,0.238697628478702
24,0.140485495612569,0.175982293376721
36,0.032234256152626,0.059220489881712
60,0.021495330654007,0.049035337226683
120,0.008189481085251,0.022837548624071
240,0.00182686513667,0.007972568560726
