male?,age,p
TRUE,89,0.054
TRUE,90,0.054
TRUE,91,0.054
TRUE,92,0.054
TRUE,93,0.054
TRUE,94,0.054
TRUE,95,0.054
TRUE,96,0.054
TRUE,97,0.054
TRUE,98,0.054
TRUE,99,0.054
TRUE,100,0.054
TRUE,101,0.054
TRUE,102,0.054
TRUE,103,0.054
TRUE,104,0.054
TRUE,105,0.054
TRUE,106,0.054
TRUE,107,0.054
TRUE,108,0.054
TRUE,109,0.054
TRUE,110,0.054
TRUE,111,0.054
TRUE,112,0.054
TRUE,113,0.054
TRUE,114,0.054
TRUE,115,0.054
TRUE,116,0.054
TRUE,117,0.054
TRUE,118,0.054
TRUE,119,0.054
TRUE,120,0.054
TRUE,121,0.054
TRUE,122,0.054
TRUE,123,0.054
TRUE,124,0.054
TRUE,125,0.054
TRUE,126,0.054
TRUE,127,0.054
TRUE,128,0.054
TRUE,129,0.054
TRUE,130,0.054
TRUE,131,0.054
TRUE,132,0.054
TRUE,133,0.054
TRUE,134,0.054
TRUE,135,0.054
TRUE,136,0.054
TRUE,137,0.054
TRUE,138,0.054
TRUE,139,0.054
TRUE,140,0.054
TRUE,141,0.054
TRUE,142,0.054
TRUE,143,0.054
TRUE,144,0.054
TRUE,145,0.054
TRUE,146,0.054
TRUE,147,0.054
TRUE,148,0.054
TRUE,149,0.054
TRUE,150,0.054
TRUE,151,0.054
TRUE,152,0.054
TRUE,153,0.054
TRUE,154,0.054
TRUE,155,0.054
TRUE,156,0.054
TRUE,157,0.054
TRUE,158,0.054
TRUE,159,0.054
TRUE,160,0.054
TRUE,161,0.054
TRUE,162,0.054
TRUE,163,0.054
TRUE,164,0.054
TRUE,165,0.054
TRUE,166,0.054
TRUE,167,0.054
TRUE,168,0.054
TRUE,169,0.054
TRUE,170,0.054
TRUE,171,0.054
TRUE,172,0.054
TRUE,173,0.054
TRUE,174,0.054
TRUE,175,0.054
TRUE,176,0.054
TRUE,177,0.054
TRUE,178,0.054
TRUE,179,0.054
TRUE,180,0.054
TRUE,181,0.054
TRUE,182,0.054
TRUE,183,0.054
TRUE,184,0.054
TRUE,185,0.054
TRUE,186,0.054
TRUE,187,0.054
TRUE,188,0.054
TRUE,189,0.054
TRUE,190,0.054
TRUE,191,0.054
TRUE,192,0.054
TRUE,193,0.054
TRUE,194,0.054
TRUE,195,0.054
TRUE,196,0.054
TRUE,197,0.054
TRUE,198,0.054
TRUE,199,0.054
TRUE,200,0.054
