months,F,M
1,0.056363636363636,0.056363636363636
3,0.096363636363636,0.096363636363636
6,0.086363636363636,0.086363636363636
12,0.116363636363636,0.116363636363636
24,0.156363636363636,0.156363636363636
36,0.206363636363636,0.206363636363636
48,0.076363636363636,0.076363636363636
72,0.076363636363636,0.076363636363636
96,0.046363636363636,0.046363636363636
144,0.056363636363636,0.056363636363636
240,0.026363636363636,0.026363636363636
