size,p
1,0.18510462994135055
2,0.3000513847298758
3,0.16575562131225968
4,0.21237840423835427
5,0.08538281623757464
6,0.029475344189095806
7,0.012000106313234225
8,0.006343356308804508
9,0.0035083367294505377
