male?,age,p
TRUE,12,0.049450726911644885
TRUE,13,0.049450726911644885
TRUE,14,0.049450726911644885
TRUE,15,0.049450726911644885
TRUE,16,0.049450726911644885
TRUE,17,0.049450726911644885
TRUE,18,0.049450726911644885
TRUE,18,0.0887158048028509
TRUE,19,0.0887158048028509
TRUE,20,0.0887158048028509
TRUE,21,0.0887158048028509
TRUE,22,0.0887158048028509
TRUE,23,0.0887158048028509
TRUE,24,0.0887158048028509
TRUE,25,0.0887158048028509
TRUE,25,0.05611481802148115
TRUE,26,0.05611481802148115
TRUE,27,0.05611481802148115
TRUE,28,0.05611481802148115
TRUE,29,0.05611481802148115
TRUE,30,0.05611481802148115
TRUE,31,0.05611481802148115
TRUE,32,0.05611481802148115
TRUE,33,0.05611481802148115
TRUE,34,0.05611481802148115
TRUE,35,0.05611481802148115
TRUE,36,0.05611481802148115
TRUE,37,0.05611481802148115
TRUE,38,0.05611481802148115
TRUE,39,0.05611481802148115
TRUE,40,0.05611481802148115
TRUE,41,0.05611481802148115
TRUE,42,0.05611481802148115
TRUE,43,0.05611481802148115
TRUE,44,0.05611481802148115
TRUE,45,0.05611481802148115
TRUE,45,0.02340110946985407
TRUE,46,0.02340110946985407
TRUE,47,0.02340110946985407
TRUE,48,0.02340110946985407
TRUE,49,0.02340110946985407
TRUE,50,0.02340110946985407
TRUE,51,0.02340110946985407
TRUE,52,0.02340110946985407
TRUE,53,0.02340110946985407
TRUE,54,0.02340110946985407
TRUE,55,0.02340110946985407
TRUE,56,0.02340110946985407
TRUE,57,0.02340110946985407
TRUE,58,0.02340110946985407
TRUE,59,0.02340110946985407
TRUE,60,0.02340110946985407
TRUE,61,0.02340110946985407
TRUE,62,0.02340110946985407
TRUE,63,0.02340110946985407
TRUE,64,0.02340110946985407
TRUE,65,0.02340110946985407
TRUE,65,0.00690387998618417
TRUE,66,0.00690387998618417
TRUE,67,0.00690387998618417
TRUE,68,0.00690387998618417
TRUE,69,0.00690387998618417
TRUE,70,0.00690387998618417
TRUE,71,0.00690387998618417
TRUE,72,0.00690387998618417
TRUE,73,0.00690387998618417
TRUE,74,0.00690387998618417
TRUE,75,0.00690387998618417
TRUE,76,0.00690387998618417
TRUE,77,0.00690387998618417
TRUE,78,0.00690387998618417
TRUE,79,0.00690387998618417
TRUE,80,0.00690387998618417
TRUE,81,0.00690387998618417
TRUE,82,0.00690387998618417
TRUE,83,0.00690387998618417
TRUE,84,0.00690387998618417
TRUE,85,0.00690387998618417
TRUE,86,0.00690387998618417
TRUE,87,0.00690387998618417
TRUE,88,0.00690387998618417
TRUE,89,0.00690387998618417
TRUE,90,0.00690387998618417
TRUE,91,0.00690387998618417
TRUE,92,0.00690387998618417
TRUE,93,0.00690387998618417
TRUE,94,0.00690387998618417
TRUE,95,0.00690387998618417
TRUE,96,0.00690387998618417
TRUE,97,0.00690387998618417
TRUE,98,0.00690387998618417
TRUE,99,0.00690387998618417
TRUE,100,0.00690387998618417
TRUE,101,0.00690387998618417
TRUE,102,0.00690387998618417
TRUE,103,0.00690387998618417
TRUE,104,0.00690387998618417
TRUE,105,0.00690387998618417
TRUE,106,0.00690387998618417
TRUE,107,0.00690387998618417
TRUE,108,0.00690387998618417
TRUE,109,0.00690387998618417
TRUE,110,0.00690387998618417
TRUE,111,0.00690387998618417
TRUE,112,0.00690387998618417
TRUE,113,0.00690387998618417
TRUE,114,0.00690387998618417
TRUE,115,0.00690387998618417
